name,original_price,discounted_price,discount,review_score,review_title,number_of_reviews,star_rating,is_apartment,neighborhood,kms_from_centre,location_score,bed_type,room_type,breakfast_included,free_cancellation,prepayment_needed,time_to_travel,length_of_stay,snapshot_date
The Ridge,150,150,False,7.5,Good,"1,305",3.0,False,"Lower East Side, New York",5.1,,1 double bed,Standard Double Room,False,False,True,13,1,2025-02-03
Courtyard by Marriott Times Square West,232,186,True,8.4,Very good,"3,098",3.0,False,"Hell's Kitchen, New York",1.8,,1 extra-large double bed,King Room,False,True,False,13,1,2025-02-03
Romer Hell's Kitchen,312,312,False,8.6,Fabulous,"2,425",4.0,False,"Hell's Kitchen, New York",0.6,9.5,1 extra-large double bed,Deluxe King,False,True,False,13,1,2025-02-03
Courtyard by Marriott New York Manhattan/Central Park,247,247,False,8.2,Very good,"5,517",4.0,False,"Manhattan, New York",,9.5,1 large double bed,King or Queen Room with City View,False,False,True,13,1,2025-02-03
Pod Times Square,174,174,False,8.2,Very good,"23,078",3.0,False,"Hell's Kitchen, New York",1.4,9.4,1 double bed,Full Pod,False,False,True,13,1,2025-02-03
Arlo SoHo,193,193,False,8.1,Very good,"2,085",4.0,False,"SoHo, New York",5.3,,1 large double bed,Courtyard Queen - ADA,False,True,True,13,1,2025-02-03
Virgin Hotels New York City,329,329,False,8.3,Very good,"1,418",4.0,False,"NoMad, New York",2.5,,1 extra-large double bed,Chamber King,False,True,True,13,1,2025-02-03
Park Lane New York,483,437,True,7.9,Good,"5,019",5.0,False,"Manhattan, New York",0.6,9.6,1 extra-large double bed,Park Lane King,False,False,True,13,1,2025-02-03
Royalton New York,221,221,False,7.5,Good,"3,095",4.0,False,"Manhattan, New York",1.4,9.4,1 large double bed,Standard Queen Room,False,False,True,13,1,2025-02-03
W New York - Times Square,269,269,False,7.9,Good,"1,372",4.0,False,"Manhattan, New York",1.0,9.3,1 extra-large double bed,Wonderful King Room with City View and Adapted Tub - Mobility and Hearing Accessible,False,False,True,13,1,2025-02-03
SoHo 54,163,163,False,7.6,Good,"3,964",3.0,False,"SoHo, New York",5.3,,1 extra-large double bed,SoHo King,False,True,False,13,1,2025-02-03
Hotel AKA NoMad,279,279,False,8.3,Very good,663,4.0,False,"NoMad, New York",2.5,9.3,1 large double bed,Double Room,False,False,True,13,1,2025-02-03
Concorde Hotel New York,230,230,False,8.7,Fabulous,"1,735",4.0,False,"Midtown East, New York",1.3,9.4,1 large double bed,Deluxe Queen Room,False,False,True,13,1,2025-02-03
Riu Plaza New York Times Square,367,275,True,8.5,Very good,"7,245",4.0,False,"Hell's Kitchen, New York",1.0,9.5,1 extra-large double bed,Deluxe King Room,True,False,True,13,1,2025-02-03
DoubleTree by Hilton New York Midtown Fifth Ave,213,213,False,7.6,Good,"1,703",4.0,False,"Manhattan, New York",1.0,9.4,1 extra-large double bed,King Room,False,False,True,13,1,2025-02-03
